id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,price
a922764,Top Floor 2bd Luxury Brownstone Apt,1204785,Lorrie,Brooklyn,Fort Greene,40.68601,-73.97515,Entire home/apt,30,277,2022-07-23,2.28,1,288,1,,199
a16365302,Bond Street 2 bedroom 2 bath great NOHO location,24074171,Donna,Manhattan,NoHo,40.72693,-73.99322,Entire home/apt,3,37,2020-11-30,0.5,1,4,0,,432
a2432622,Your new happy place in Greenpoint/Williamsburg,377287,Marianne,Brooklyn,Greenpoint,40.72358,-73.95426,Entire home/apt,2,25,2022-04-23,0.24,1,134,3,,400
a2525956,Beautiful 1 Bdr in the heart of NYC,7365834,Alex,Manhattan,Theater District,40.76038,-73.98196,Entire home/apt,30,16,2017-12-01,0.15,5,70,0,,129
a34340299,Spacious 1 bed apartment with private terrace,41213523,Mathieu,Manhattan,East Village,40.72899,-73.98091,Entire home/apt,30,7,2020-01-02,0.15,1,0,0,,250
a9918963,Brooklyn Apt with Patio in Heart of Fort Greene,50994782,Clay,Brooklyn,Fort Greene,40.68851,-73.97124,Entire home/apt,2,31,2022-09-25,0.36,1,0,8,,175
a682684527659690406,Green Olives Condominiums 1,60847286,Mohammad,Queens,Woodside,40.74223,-73.9058,Private room,2,9,2023-01-01,1.29,2,309,9,,125
a54364623,Romantic and sunny 2-bedrooms rental unit Brooklyn,13187650,L'Equipe,Brooklyn,Bedford-Stuyvesant,40.6893,-73.95454,Entire home/apt,1,40,2023-02-28,3.05,1,44,38,,288
a726667728496451227,Charming 2 bedroom in a quiet tree lined street,188737645,John,Bronx,Pelham Gardens,40.86457,-73.84112,Entire home/apt,3,10,2023-02-26,6.52,1,161,10,,121
a824421,Central Williamsburg Fab Large Room,4328005,Dina,Brooklyn,Williamsburg,40.71803,-73.96211,Private room,30,7,2015-01-07,0.06,1,0,0,,70
a635617204486061688,Park Slope Townhouse: Private Full-Floor 2 Bedroom,1132121,Robert,Brooklyn,Park Slope,40.68069,-73.98059,Entire home/apt,1,23,2023-02-27,4.42,1,273,23,,338
a19968011,145 Mulberry-Studio In Little Italy,51501835,Jeniffer,Manhattan,Little Italy,40.71896,-73.99774,Entire home/apt,30,8,2021-12-17,0.13,131,273,0,,118
a20213659,"MASTER BEDROOM/PRIVATE BATHROOM, 10 MINS from JFK",107915864,Mina,Queens,Howard Beach,40.66677,-73.85123,Private room,1,49,2023-02-19,1.08,3,365,1,,89
a52616410,Stylish & Cozy | In the ♥ of Flushing | ♛ King Bed,212164658,Jason,Queens,Flushing,40.75772,-73.82598,Entire home/apt,1,74,2023-02-11,4.41,8,136,60,,156
a38947926,one bed apartment in the heart of staten island,298304737,Mehmet,Staten Island,Mariners Harbor,40.62667,-74.15076,Entire home/apt,2,37,2023-01-02,0.94,1,123,12,,120
a584110672069834078,Modern bedroom (autumn),448142693,Kang,Queens,Jackson Heights,40.75423,-73.857399,Private room,1,50,2023-02-12,4.36,1,361,50,,59
a6909447,Cozy & perfectly located Studio,36207962,Ariel,Manhattan,Upper West Side,40.78299,-73.97616,Entire home/apt,30,13,2015-11-28,0.14,1,0,0,,150
a25892653,Bright and  New 1-Bedroom Condo in Bushwick,12938371,Sinan,Brooklyn,Bushwick,40.68869,-73.9091,Entire home/apt,30,6,2020-08-12,0.12,1,0,0,,85
a43946617,"""1 Sweet Suite"" VERYFAIR $ Brand New Queens Studio",110321529,Andrea,Queens,St. Albans,40.69745,-73.75327,Entire home/apt,2,45,2022-10-01,2.2,1,34,27,,89
a40305212,"Sunny 2BR, steps to Brooklyn Museum, Botanic Grdn!",209527549,Kris & Genevieve,Brooklyn,Crown Heights,40.67143,-73.96163,Entire home/apt,30,5,2019-12-30,0.13,1,0,0,,220
a504541514904816853,Lovely 3 bedroom 2 bath apartment; Bath In Master,433622516,Fenol,Brooklyn,East New York,40.65593,-73.89587,Entire home/apt,3,39,2022-12-30,2.56,1,357,31,,126
a34127215,Beautiful Williamsburg Townhouse 4 bed / 2.5 bath,257685807,Alejandra,Brooklyn,Williamsburg,40.70943,-73.96024,Entire home/apt,30,24,2022-10-15,0.54,1,76,1,,900
a51862900,West Village Best Foodie Location w View,23566374,Anna,Manhattan,West Village,40.73434,-74.0038,Entire home/apt,1,22,2022-08-17,1.22,3,361,12,,749
